id,Race,Class,Boost,STR,INT,WIS,DEX,CON
1,Human,(none),N/A,60,60,60,60,60
2,Human,Warrior,0,70,60,60,60,66
3,Human,Barbarian,0,66,60,60,60,70
4,Human,Ranger,10,60,60,66,70,60
5,Human,Swash,10,66,60,60,70,60
6,Human,Armsman,10,70,60,60,60,66
7,Human,Samurai,20,70,60,60,60,66
8,Human,Thief,0,60,66,60,70,60
9,Human,Assassin,10,60,66,60,70,60
10,Human,Bandit,10,66,60,60,70,60
11,Human,Pirate,0,60,66,60,70,60
12,Human,Nightshade,0,60,66,60,70,60
13,Human,Ninja,20,66,60,60,70,60
14,Human,Mage,10,60,70,66,60,60
15,Human,Illusionist,0,60,70,66,60,60
16,Human,Warlock,0,60,70,60,66,60
17,Human,Enchanter,0,60,70,66,60,60
18,Human,Mentalist,20,60,70,66,60,60
19,Human,WuJen,20,60,70,66,60,60
20,Human,Cleric,10,60,66,70,60,60
21,Human,Crusader,20,60,60,70,60,66
22,Human,Druid,0,60,60,70,66,60
23,Human,Shaman,0,60,66,70,60,60
24,Human,Priest,10,60,66,70,60,60
25,Human,Shukenja,20,60,66,70,60,60
26,Human,Bard,10,60,66,70,60,60
27,Human,Jongleur,0,60,60,66,70,60
28,Human,Charlatan,0,60,66,70,60,60
29,Human,Skald,10,66,60,70,60,60
30,Human,Brew,20,70,60,66,60,60
31,H-Dwarf,(none),N/A,62,52,79,50,64
32,H-Dwarf,Warrior,10,70,52,79,50,68
33,H-Dwarf,Barbarian,10,66,52,79,50,72
34,H-Dwarf,Ranger,10,62,52,83,58,64
35,H-Dwarf,Swash,N/A,66,52,79,58,64
36,H-Dwarf,Armsman,30,70,52,79,50,68
37,H-Dwarf,Samurai,20,70,52,79,50,68
38,H-Dwarf,Thief,-10,62,56,79,58,64
39,H-Dwarf,Assassin,-10,62,56,79,58,64
40,H-Dwarf,Bandit,-10,66,52,79,58,64
41,H-Dwarf,Pirate,0,62,56,79,58,64
42,H-Dwarf,Nightshade,N/A,62,56,79,58,64
43,H-Dwarf,Ninja,-10,66,52,79,58,64
44,H-Dwarf,Mage,N/A,62,60,83,50,64
45,H-Dwarf,Illusionist,N/A,62,60,83,50,64
46,H-Dwarf,Warlock,N/A,62,60,79,54,64
47,H-Dwarf,Enchanter,N/A,62,60,83,50,64
48,H-Dwarf,Mentalist,N/A,62,60,83,50,64
49,H-Dwarf,WuJen,N/A,62,60,83,50,64
50,H-Dwarf,Cleric,10,62,56,87,50,64
51,H-Dwarf,Crusader,0,62,52,87,50,68
52,H-Dwarf,Druid,10,62,52,87,54,64
53,H-Dwarf,Shaman,10,62,56,87,50,64
54,H-Dwarf,Priest,10,62,56,87,50,64
55,H-Dwarf,Shukenja,10,62,56,87,50,64
56,H-Dwarf,Bard,0,62,56,87,50,64
57,H-Dwarf,Jongleur,-10,62,52,83,58,64
58,H-Dwarf,Charlatan,0,62,56,87,50,64
59,H-Dwarf,Skald,30,66,52,87,50,64
60,H-Dwarf,Brew,20,70,52,83,50,64
61,M-Dwarf,(none),N/A,66,53,76,45,67
62,M-Dwarf,Warrior,10,74,53,76,45,71
63,M-Dwarf,Barbarian,0,70,53,76,45,75
64,M-Dwarf,Ranger,-10,66,53,80,53,67
65,M-Dwarf,Swash,N/A,70,53,76,53,67
66,M-Dwarf,Armsman,30,74,53,76,45,71
67,M-Dwarf,Samurai,20,74,53,76,45,71
68,M-Dwarf,Thief,-10,66,57,76,53,67
69,M-Dwarf,Assassin,-10,66,57,76,53,67
70,M-Dwarf,Bandit,10,70,53,76,53,67
71,M-Dwarf,Pirate,0,66,57,76,53,67
72,M-Dwarf,Nightshade,N/A,66,57,76,53,67
73,M-Dwarf,Ninja,-10,70,53,76,53,67
74,M-Dwarf,Mage,N/A,66,61,80,45,67
75,M-Dwarf,Illusionist,N/A,66,61,80,45,67
76,M-Dwarf,Warlock,N/A,66,61,76,49,67
77,M-Dwarf,Enchanter,N/A,66,61,80,45,67
78,M-Dwarf,Mentalist,N/A,66,61,80,45,67
79,M-Dwarf,WuJen,N/A,66,61,80,45,67
80,M-Dwarf,Cleric,10,66,57,84,45,67
81,M-Dwarf,Crusader,0,66,53,84,45,71
82,M-Dwarf,Druid,N/A,66,53,84,49,67
83,M-Dwarf,Shaman,0,66,57,84,45,67
84,M-Dwarf,Priest,20,66,57,84,45,67
85,M-Dwarf,Shukenja,10,66,57,84,45,67
86,M-Dwarf,Bard,10,66,57,84,45,67
87,M-Dwarf,Jongleur,-10,66,53,80,53,67
88,M-Dwarf,Charlatan,0,66,57,84,45,67
89,M-Dwarf,Skald,30,70,53,84,45,67
90,M-Dwarf,Brew,20,74,53,80,45,67
91,D-Dwarf,(none),N/A,51,80,67,46,61
92,D-Dwarf,Warrior,-10,59,80,67,46,65
93,D-Dwarf,Barbarian,N/A,55,80,67,46,69
94,D-Dwarf,Ranger,N/A,51,80,71,54,61
95,D-Dwarf,Swash,N/A,55,80,67,54,61
96,D-Dwarf,Armsman,-10,59,80,67,46,65
97,D-Dwarf,Samurai,-10,59,80,67,46,65
98,D-Dwarf,Thief,0,51,84,67,54,61
99,D-Dwarf,Assassin,0,51,84,67,54,61
100,D-Dwarf,Bandit,0,55,80,67,54,61
101,D-Dwarf,Pirate,0,51,84,67,54,61
102,D-Dwarf,Nightshade,10,51,84,67,54,61
103,D-Dwarf,Ninja,10,55,80,67,54,61
104,D-Dwarf,Mage,10,51,88,71,46,61
105,D-Dwarf,Illusionist,0,51,88,71,46,61
106,D-Dwarf,Warlock,10,51,88,67,50,61
107,D-Dwarf,Enchanter,0,51,88,71,46,61
108,D-Dwarf,Mentalist,10,51,88,71,46,61
109,D-Dwarf,WuJen,10,51,88,71,46,61
110,D-Dwarf,Cleric,10,51,84,75,46,61
111,D-Dwarf,Crusader,0,51,80,75,46,65
112,D-Dwarf,Druid,0,51,80,75,50,61
113,D-Dwarf,Shaman,0,51,84,75,46,61
114,D-Dwarf,Priest,10,51,84,75,46,61
115,D-Dwarf,Shukenja,20,51,84,75,46,61
116,D-Dwarf,Bard,0,51,84,75,46,61
117,D-Dwarf,Jongleur,N/A,51,80,71,54,61
118,D-Dwarf,Charlatan,0,51,84,75,46,61
119,D-Dwarf,Skald,0,55,80,75,46,61
120,D-Dwarf,Brew,10,59,80,71,46,61
121,Mul,(none),N/A,70,52,50,66,68
122,Mul,Warrior,0,78,52,50,66,72
123,Mul,Barbarian,0,74,52,50,66,76
124,Mul,Ranger,0,70,52,54,74,68
125,Mul,Swash,-20,74,52,50,74,68
126,Mul,Armsman,0,78,52,50,66,72
127,Mul,Samurai,10,80,52,50,66,72
128,Mul,Thief,0,70,56,50,74,68
129,Mul,Assassin,0,70,56,50,74,68
130,Mul,Bandit,10,74,52,50,74,68
131,Mul,Pirate,0,70,56,50,74,68
132,Mul,Nightshade,-20,70,56,50,74,68
133,Mul,Ninja,-10,74,52,50,74,68
134,Mul,Mage,-30,70,60,54,66,68
135,Mul,Illusionist,0,70,60,54,66,68
136,Mul,Warlock,0,70,60,50,70,68
137,Mul,Enchanter,0,70,60,54,66,68
138,Mul,Mentalist,-30,70,60,54,66,68
139,Mul,WuJen,-10,70,60,54,66,68
140,Mul,Cleric,0,70,56,58,66,68
141,Mul,Crusader,0,70,52,58,66,72
142,Mul,Druid,-30,70,52,58,70,68
143,Mul,Shaman,0,70,56,58,66,68
144,Mul,Priest,0,70,56,58,66,68
